place,mag,time,longitude,latitude,depth
"18 km WSW of Johannesburg, CA",1.6,1782617907930,-117.816333333333,35.3181666666667,7.56
"2 km ENE of The Geysers, CA",0.76,1782617806770,-122.736503601074,38.7840003967285,1.85000002384186
"7 km S of Boonville, CA",1.56,1782617781720,-123.357666015625,38.9500007629395,3.92000007629395
"11 km S of Clam Gulch, Alaska",2.5,1782616776986,-151.388,60.129,53.1
"247 km ESE of Attu Station, Alaska",4.3,1782616727190,176.5173,51.9528,54.904
"7 km NE of Trabuco Canyon, CA",1.03,1782616427240,-117.527166666667,33.7003333333333,6.08
"32 km ENE of Caucete, Argentina",4.4,1782616326495,-67.964,-31.5471,109.673
"7 km S of Lake Morton-Berrydale, Washington",1.81618022918701,1782616189460,-122.111335754395,47.267333984375,20.9799995422363
"18 km WSW of Johannesburg, CA",1.12,1782615754170,-117.814833333333,35.3063333333333,8.58
"20 km NW of Finschhafen, Papua New Guinea",4.9,1782615560239,147.7078,-6.4393,73.067
"2 km NE of Colton, CA",1.0,1782615343280,-117.300166666667,34.0905,15.72
"54 km ESE of Pedro Bay, Alaska",1.8,1782615229680,-153.196,59.631,112.6
"5 km SW of Anza, CA",1.58,1782614760880,-116.717,33.5305,5.12
"16 km WNW of Grandfalls, Texas",1.8,1782614212266,-103.01,31.394,0.0
"38 km SSE of Chignik, Alaska",2.1,1782613255970,-158.06,56.003,64.7
"166 km NNW of The Valley, Anguilla",4.12,1782612380980,-63.5041,19.6633,59.0
"34 km E of McKinney Acres, Texas",1.1,1782612366543,-102.167,32.352,7.7024
"4 km SSW of Littlerock, CA",1.41,1782612343630,-118.005833333333,34.4851666666667,9.41
"1 km NW of The Geysers, CA",1.03,1782612222180,-122.767669677734,38.7869987487793,2.91000008583069
"1 km NW of The Geysers, CA",1.74,1782612198520,-122.768997192383,38.7861671447754,2.5699999332428
"24 km WSW of Wainaku, Hawaii",1.81,1782611968780,-155.316833496094,19.6843338012695,26.0100002288818
"34 km WSW of Ivanof Bay, Alaska",2.2,1782611591764,-159.953,55.741,7.0
"9 km S of Midland, Texas",1.1,1782611164094,-102.065,31.909,6.5672
"14 km ENE of Indio, CA",2.09,1782611067430,-116.083833333333,33.7853333333333,2.81
"63 km S of Perryville, Alaska",2.1,1782610143375,-159.204,55.345,5.5
"54 km W of Kailua-Kona, Hawaii",2.62,1782609935470,-156.516662597656,19.6746673583984,12.710000038147
"33 km NNW of Neah Bay, Washington",2.31,1782609109270,-124.833,48.6358333333333,33.99
"4 km W of Cobb, CA",1.07,1782609098990,-122.767166137695,38.8230018615723,2.5
"8 km WNW of Cobb, CA",1.03,1782608924060,-122.807502746582,38.8383331298828,2.0
"8 km WNW of Cobb, CA",0.71,1782608763990,-122.808166503906,38.8381652832031,2.09999990463257
"3 km S of Salcha, Alaska",1.6,1782608529667,-146.917,64.491,6.5
"18 km NNW of Indian Springs, Nevada",2.38,1782607156430,-115.7417,36.7244,3.9717
"7 km NW of The Geysers, CA",1.94,1782606827030,-122.808334350586,38.8233337402344,2.47000002861023
"7 km NW of The Geysers, CA",1.04,1782606567500,-122.80916595459,38.8224983215332,2.72000002861023
"7 km NW of The Geysers, CA",1.57,1782606234520,-122.807662963867,38.8228340148926,2.80999994277954
"28 km WSW of Ivanof Bay, Alaska",2.2,1782606209939,-159.913,55.809,10.4
"15 km WSW of Ivanof Bay, Alaska",1.6,1782605360005,-159.72,55.85,14.2
